period,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2021-01,363,206,134,0,17887.76,2568258.34,6268892.09,8789896.23,55208.29,8845104.52
2021-02,196,96,111,0,5468.8,1196801.75,1876557.41,3067470.64,38013.6,3105484.24
2021-03,227,117,103,0,4842.5,892637.62,1778655.66,2642814.24,61914.3,2704728.54
2021-04,168,106,84,0,6178.59,1633582.56,2814742.51,4446869.07,21118.5,4467987.57
2021-05,247,136,107,0,6585.44,1596115.5,3516188.48,5097442.98,71134.2,5168577.18
2021-06,220,149,77,0,13091.57,1234173.36,3789214.33,5004047.79,31993.3,5036041.09
2021-07,322,168,117,0,10706.09,1816717.48,4165528.98,5870496.46,36185.28,5906681.74
2021-08,265,149,121,0,32075.27,4536065.84,6114492.31,10262506.25,65206.9,10327713.15
2021-09,305,193,115,0,17369.75,3141134.71,5349791.61,8215366.32,22708.45,8238074.77
2021-10,362,198,151,0,16133.68,5253594.01,7254358.03,12381539.54,41696.5,12423236.04
2021-11,588,277,123,0,18153.24,2706945.66,7336047.19,9879774.41,75104.6,9954879.01
2021-12,149,94,76,0,4645.17,1045500.64,1742056.27,2781596.91,29910.3,2811507.21
2022-01,220,143,78,0,6559.46,652570.28,1811995.95,2460196.23,34393.5,2494589.73
2022-02,414,248,127,0,13807.06,3302345.12,6284459.61,9554232.23,52232.0,9606464.23
2022-03,420,241,166,0,18124.07,3138472.37,6342342.63,9447042.16,87992.7,9535034.86
2022-04,203,126,97,0,5868.73,1018999.0,1668960.63,2621829.63,35995.0,2657824.63
2022-05,367,236,121,0,12301.33,1626832.89,2914688.12,4541521.01,19327.0,4560848.01
2022-06,485,304,156,0,17781.7,2990702.04,7419485.99,10395468.03,43592.0,10439060.03
2022-07,328,160,174,0,5433.9,1264932.41,2638013.09,3719115.58,75334.0,3794449.58
2022-08,282,133,153,0,5493.77,1165582.55,1651889.69,2808192.24,39697.0,2847889.24
2022-09,253,125,134,0,4046.47,1170788.48,1737073.4,2907592.88,55852.0,2963444.88
2022-10,507,296,181,0,12678.66,2247923.19,4956428.17,7101221.04,45511.0,7146732.04
2022-11,310,189,115,0,14886.2,1572687.92,3533906.3,5010554.22,56193.0,5066747.22
2022-12,210,99,98,0,6696.0,1171112.88,1809811.75,2976924.63,59043.0,3035967.63
2023-01,377,285,91,0,20516.34,2665390.57,3479256.03,5088275.2,55960.8,5144236.0
2023-02,135,98,83,0,4073.09,656437.76,563115.74,1213449.5,31275.1,1244724.6
2023-03,326,258,84,0,9194.56,1061895.38,1213412.18,2244721.56,43445.0,2288166.56
2023-04,241,179,96,0,5404.0,598573.51,863575.24,1449276.35,33287.1,1482563.45
2023-05,578,418,139,0,34018.24,6484681.07,7815090.23,13551117.8,37250.7,13588368.5
2023-06,1433,821,155,0,97830.67,22178785.66,22474610.01,6346265.23,76390.74,6422655.97
2023-07,338,194,166,0,13838.14,1923731.26,3097740.88,4953642.8,50797.3,5004440.1
2023-08,399,293,102,0,18555.66,1234421.04,1601788.12,2821492.5,42885.4,2864377.9
2023-09,238,149,94,0,6387.7,858007.13,4194954.51,5020290.6,54234.4,5074525.0
2023-10,287,199,112,0,3965.7,1209293.65,1657954.75,2838304.4,44143.8,2882448.2
2023-11,884,570,177,0,53127.47,7719362.23,10914018.68,15453158.49,56826.4,15509984.89
2023-12,87,63,43,0,672.0,156033.19,282247.81,436505.0,24258.0,460763.0
2024-01,227,138,93,0,2111.77,590911.41,1155435.7,1715397.11,28724.1,1744121.21
2024-02,272,127,107,40,2106.84,756058.34,1267124.8,1990691.64,21509.0,2012200.64
2024-03,312,222,86,0,4249.33,675553.97,1317230.14,1992640.11,49989.0,2042629.11
2024-04,239,162,83,5,8117.52,1042702.0,1057349.08,2098631.08,6364.5,2104995.58
2024-05,330,151,116,60,3529.5,1298307.64,2012922.84,2897661.28,36018.63,2933679.91
2024-06,278,176,97,50,8219.38,3920718.94,3596851.73,6876134.67,18413.5,6894548.17
2024-07,265,136,105,85,2325.0,1820005.52,1800800.55,3145105.07,32153.0,3177258.07
2024-08,288,158,92,65,4017.0,2280339.14,1866755.49,3579698.01,17300.0,3596998.01
2024-09,195,120,95,35,1697.0,1683287.05,1214044.75,2163616.8,49686.69,2213303.49
2024-10,273,149,83,75,6782.5,2541620.43,1872584.64,3949858.63,18517.6,3968376.23
2024-11,327,185,115,70,4591.12,1546044.76,1918609.36,3449077.72,31033.25,3480110.97
2024-12,322,162,110,130,3455.84,12351001.3,8633391.7,16564393.76,32572.5,16596966.26
2025-02,648,255,233,35,49613.83,18446935.19,15432489.35,33879424.54,79984.0,33959408.54
2025-05,244,134,99,5,24627.33,2456104.08,2582715.97,5038820.05,30772.6,5069592.65
2025-06,932,386,243,170,122025.93,18755707.53,21080417.61,39836125.14,70952.9,39907078.04
2025-08,4,4,1,0,238.0,39980.0,100932.0,140912.0,0.0,140912.0
2025-09,1046,418,322,185,138584.24,20483932.92,15994974.36,36478907.28,80524.8,36559432.08
2025-11,851,319,219,425,46700.17,13768849.55,10419780.62,24188630.17,51285.7,24239915.87
2025-12,1174,538,264,290,39273.33,20809120.98,13509343.63,34318464.61,66923.2,34385387.81
