period,product,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2000-01,ALGICAP 50MG/5ML,1,1,1,0,2.0,455.0,949.0,0.0,0.1,1560.0
2000-01,ALTOSAR 50MG/12.5MG,1,1,1,0,4.0,632.0,1528.0,0.0,0.1,2400.0
2000-01,CELENCE 200MG,1,1,1,0,1.0,860.0,2020.0,0.0,0.1,3200.0
2000-01,LACTAMOX 625MG,1,1,1,0,1.0,1173.6,1850.4,0.0,0.1,3360.0
2000-01,VICEPHRIN 250MG/5ML,1,1,1,0,12.0,576.0,1368.0,0.0,0.1,2160.0
2001-03,JAGA 300MG/100MG/100MCG,1,1,1,0,3.0,1035.0,1265.0,0.0,0.0,2300.0
2001-12,,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2007-11,,5,0,1,0,19.0,3833.9,6156.1,0.0,0.0,9990.0
2015-01,,2,0,1,0,17.0,2432.2,9942.8,0.0,0.0,12375.0
2016-01,AMETRIS 125MG,1,1,1,0,2.0,340.0,960.0,0.0,0.0,1300.0
2016-01,ATOVAS 20MG,1,1,1,0,2.0,405.0,1095.0,0.0,0.0,1500.0
2016-01,CAPSUGEN FORTE,1,1,1,0,3.0,930.0,2370.0,0.0,0.0,3300.0
2016-01,CETOCIN,1,1,1,0,3.0,360.0,1140.0,0.0,0.0,1500.0
2016-01,CLAVIC 500MG,1,1,1,0,5.0,5868.0,8082.0,0.0,0.0,13950.0
2016-01,CORSTAPH 500MG,1,1,1,0,2.0,870.0,2130.0,0.0,0.0,3000.0
2016-01,ERGOTEC 125MG,1,1,1,0,2000.0,10000.0,30000.0,0.0,0.0,40000.0
2016-01,EVAPROST 125,1,1,1,0,300.0,56160.0,87840.0,0.0,0.0,144000.0
2016-01,EVAPROST 250,1,1,1,0,100.0,35750.0,60250.0,0.0,0.0,96000.0
2016-01,INTRAPLEM 500MG,1,1,1,0,3.0,840.0,2100.0,0.0,0.0,2940.0
2016-01,JAGAPLEX,1,1,1,0,3.0,810.0,1845.0,0.0,0.0,2655.0
2016-01,LACTAMOX 625MG,1,1,1,0,1.0,1173.6,1526.4,0.0,0.0,2700.0
2016-01,LOWAS,1,1,1,0,10.0,1650.0,3750.0,0.0,0.0,5400.0
2016-01,MAXIFER,1,1,1,0,500.0,81500.0,163500.0,0.0,0.0,245000.0
2016-01,MONILIASOL 125MG/5ML,1,1,1,0,24.0,630.0,1170.0,0.0,0.0,1800.0
2016-01,NERVAMIN,1,1,1,0,5.0,2290.0,5960.0,0.0,0.0,8250.0
2016-01,,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01,ROSADOC 10MG,1,1,1,0,10.0,2100.0,5700.0,0.0,0.0,7800.0
2016-01,ROSADOC 20MG,1,1,1,0,10.0,3300.0,7900.0,0.0,0.0,11200.0
2016-01,SODAMPEN 1G IM/IV,1,1,1,0,300.0,1350.0,37050.0,0.0,0.0,38400.0
2016-01,VITAIR,1,1,1,0,5.0,1755.0,4245.0,0.0,0.0,6000.0
2016-08,,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09,JAGA 300MG/100MG/100MCG,1,1,1,0,10.0,3450.0,2550.0,0.0,0.0,6000.0
2016-09,JAGAPLEX,1,1,1,0,10.0,2700.0,2050.0,0.0,0.0,4750.0
2016-10,ATOVAS 20MG,1,1,1,0,2.0,405.0,245.0,0.0,0.5,1300.0
2016-10,ATOVAS 80MG,1,1,1,0,1.0,0.0,450.0,0.0,0.5,900.0
2016-10,BERCEF 50MG DROPS,1,1,1,0,2.0,84.0,91.0,0.0,0.5,350.0
2016-10,CAPSUGEN FORTE,1,1,1,0,2.0,620.0,70.0,0.0,0.5,1100.0
2016-10,CLAXIC 250MG/62.5MG/5ML,1,1,1,0,2.0,259.4,50.6,0.0,0.5,620.0
2016-10,GIAN ZINC 120ML,1,1,1,0,2.0,150.0,25.0,0.0,0.5,350.0
2016-10,HISTARIL 50MG/1MG/5ML,1,1,1,0,5.0,122.35,77.65,0.0,0.5,400.0
2016-10,INTRAPLEM 50MG/ML DROPS,1,1,1,0,1.0,22.75,14.25,0.0,0.5,74.0
2016-10,JAGAPLEX,1,1,1,0,2.0,540.0,315.0,0.0,0.0,855.0
2016-10,MULTI GROW 120ML,2,1,2,0,8.0,544.0,248.0,0.0,1.0,1584.0
2016-10,,1,0,1,0,0.0,0.0,0.0,0.0,0.5,0.0
2016-10,RESPINAL 125MG/5ML,1,1,1,0,2.0,70.0,40.0,0.0,0.5,220.0
2016-10,VOXOLL 15MG/5ML,1,1,1,0,4.0,92.0,56.0,0.0,0.5,296.0
2016-10,ZAFEX 500MG,1,1,1,0,10.0,0.0,300.0,0.0,0.5,600.0
2016-11,CAPSUGEN FORTE,1,1,1,0,1.0,310.0,240.0,0.0,0.5,1100.0
2016-11,CEFZIME 750MG IM/IV,1,1,1,0,1.0,750.0,2250.0,0.0,0.0,3000.0
2016-11,COZEC,1,1,1,0,3.0,255.0,705.0,0.0,0.0,960.0
2016-11,ENERGEL SOFTGEL,1,1,1,0,1.0,550.0,1200.0,0.0,0.0,1750.0
2016-11,FERGLOBIN 250MG,1,1,1,0,1.0,215.0,147.5,0.0,0.5,725.0
2016-11,GIAN ZINC 120ML,1,1,1,0,2.0,150.0,25.0,0.0,0.5,350.0
2016-11,HAVC 500MG,2,1,2,0,3.0,105.0,97.5,0.0,1.0,405.0
2016-11,HISTARIL 50MG/1MG/5ML,1,1,1,0,2.0,48.94,31.06,0.0,0.5,160.0
2016-11,MULTI GROW 120ML,1,1,1,0,2.0,136.0,62.0,0.0,0.5,396.0
2016-11,,1,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11,SNEEZ 12.5MG,1,1,1,0,1.0,42.0,25.5,0.0,0.5,135.0
2016-11,VOXOLL 15MG/5ML,1,1,1,0,1.0,23.0,14.0,0.0,0.5,74.0
2016-12,ANTIZOAL,1,1,1,0,100.0,2500.0,9500.0,0.0,0.0,12000.0
2016-12,APROCARE 150MG,2,1,2,0,12.0,2628.0,5522.0,0.0,0.5,8800.0
2016-12,ATOVAS 20MG,1,1,1,0,10.0,2025.0,5475.0,0.0,0.0,7500.0
2016-12,CORSTAPH 500MG,1,1,1,0,7.0,3045.0,4455.0,0.0,0.0,7500.0
2016-12,DOLO-JAGA 500MG/50MG/100MG/100MCG,2,1,1,0,99.0,351.37,916.63,0.0,0.0,1268.0
2016-12,FERGLOBIN 250MG,1,1,1,0,7.0,1505.0,2120.0,0.0,0.0,3625.0
2016-12,HISTARIL 100MG/2MG,2,1,2,0,3.0,675.0,1825.0,0.0,0.0,2500.0
2016-12,KLOPIDO,1,1,1,0,10.0,3070.0,7930.0,0.0,0.0,11000.0
2016-12,LACTAMOX 156.25MG/5ML,2,1,2,0,15.0,1134.0,1716.0,0.0,0.0,2850.0
2016-12,LACTAMOX 625MG,1,1,1,0,1.0,1173.6,1526.4,0.0,0.0,2700.0
2016-12,MAXXI-VIT PLUS,1,1,1,0,7.0,2940.0,3060.0,0.0,0.0,6000.0
2016-12,,3,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12,SURITRAM,1,1,1,0,7.0,3500.0,5250.0,0.0,0.0,8750.0
2016-12,XYNETIN 1500MG,1,1,1,0,7.0,2170.0,2580.0,0.0,0.0,4750.0
2017-01,AFFORVIT,1,1,1,0,2.0,406.0,894.0,0.0,0.0,1300.0
2017-01,ALFOXIN 1G,1,1,1,0,20.0,7400.0,10200.0,0.0,0.0,17600.0
2017-01,ALGICAP 500MG,8,1,8,0,22.0,2569.0,6135.0,0.0,0.1,8860.0
2017-01,ALGICAP 50MG/5ML,4,1,4,0,31.0,759.5,1798.5,0.0,0.0,2558.0
2017-01,ALLERCEF 1MG,4,1,4,0,50.0,4000.98,7030.02,0.0,0.5,11906.0
2017-01,ALTOCLAV 250MG/62.5MG/5ML,1,1,1,0,20.0,3100.0,900.0,0.0,0.0,4000.0
2017-01,ALTOSAR 50MG/12.5MG,9,1,9,0,82.0,8453.0,20497.0,0.0,0.1,29550.0
2017-01,AMBRODAY 75MG SR,5,1,5,0,25.0,6250.0,7550.0,0.0,0.0,13800.0
2017-01,AMETRIS 500MG,1,1,1,0,4.0,680.0,1920.0,0.0,0.0,2600.0
2017-01,AMLOMED 10MG,1,1,1,0,1.0,790.0,1785.0,0.0,0.0,2575.0
2017-01,AMOLTEX 2MG/5ML,2,1,2,0,291.0,5965.5,11509.5,0.0,0.0,17475.0
2017-01,AMSUTAS,4,1,4,0,270.0,12150.0,61010.0,0.0,0.1,74400.0
2017-01,ANEROCIN 300MG,2,1,2,0,3.0,2670.0,8730.0,0.0,0.0,11400.0
2017-01,ANTIZOAL,4,1,4,0,440.0,11000.0,42925.0,0.0,0.0,53925.0
2017-01,APROCARE 150MG,6,1,6,0,61.0,13359.0,33471.0,0.0,0.0,46830.0
2017-01,ASTYMIN 120ML,7,1,7,0,35.0,11050.0,43050.0,0.0,0.1,54800.0
2017-01,ATOVAS 20MG,5,1,5,0,19.0,3847.5,9502.5,0.0,0.0,13350.0
2017-01,ATOVAS 80MG,1,1,1,0,5.0,1236.0,2864.0,0.0,0.0,4100.0
2017-01,AZECLO 100MG,7,1,7,0,11.0,6545.0,15255.0,0.0,0.0,21800.0
2017-01,BERCEF 250MG/5ML,14,1,14,0,149.0,22052.0,38443.0,0.0,0.0,60495.0
