period,product,territory,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2021-01,AFENAX 100MG,Batangas,2,1,2,0,7.46,4438.7,14449.5,14770.8,0.0,14770.8
2021-01,ANEROCIN 300MG,Quezon,1,1,1,0,1.0,979.0,1681.0,2660.0,1140.0,3800.0
2021-01,ATOVAS 20MG,Quezon,2,1,2,0,42.0,7560.0,23940.0,31500.0,0.0,31500.0
2021-01,BENERVA FORTE CAP,Marinduque,2,1,2,0,20.0,10500.0,11060.0,21560.0,9240.0,30800.0
2021-01,BENERVA FORTE CAP,Quezon,1,1,1,0,1.0,525.0,553.0,1078.0,462.0,1540.0
2021-01,BERCEF 250MG/5ML SUS,Quezon,1,1,1,0,10.0,1348.9,751.1,2100.0,0.0,2100.0
2021-01,BUPIRIGHT AMPULE,Camarines Norte,8,1,8,0,150.0,27750.0,66750.0,94500.0,0.0,94500.0
2021-01,CARDIZAR 50MG,Cavite,1,1,1,0,2.0,285.72,414.28,700.0,0.0,700.0
2021-01,CEFUSAPH,Laguna,1,1,1,0,10.0,1120.0,1680.0,2800.0,0.0,2800.0
2021-01,CEPROTRON 500MG,Batangas,3,1,3,0,16.0,8800.0,22000.0,30800.0,0.0,30800.0
2021-01,CEPROTRON 500MG,Camarines Sur,1,1,1,0,2.0,1100.0,2400.0,3500.0,0.0,3500.0
2021-01,CINNABLOC 25MG,Batangas,1,1,1,0,3.0,399.0,1251.0,1650.0,0.0,1650.0
2021-01,CINNABLOC 75MG,Batangas,1,1,1,0,9.0,360.0,1224.0,1584.0,0.0,1584.0
2021-01,CINNABLOC 75MG,Quezon,1,1,1,0,20.0,800.0,2400.0,3200.0,0.0,3200.0
2021-01,CIXTOR-Z 500MG,Quezon,1,1,1,0,1.0,210.0,525.0,735.0,0.0,735.0
2021-01,DOLO JAGA 500MG/50MG/100MG/100MCG,Batangas,2,1,2,0,10.0,6150.0,11850.0,18000.0,0.0,18000.0
2021-01,DOLO JAGA 500MG/50MG/100MG/100MCG,Camarines Norte,1,1,1,0,1.0,615.0,1185.0,1800.0,0.0,1800.0
2021-01,DOLO JAGA 500MG/50MG/100MG/100MCG,Camarines Sur,2,1,2,0,10.0,6150.0,8350.0,14500.0,0.0,14500.0
2021-01,DOLO JAGA 500MG/50MG/100MG/100MCG,Marinduque,3,1,3,0,23.0,14145.0,25855.0,40000.0,6000.0,46000.0
2021-01,DOLO JAGA 500MG/50MG/100MG/100MCG,Quezon,1,1,1,0,2.0,1230.0,1570.0,2800.0,1200.0,4000.0
2021-01,EPIX BY 10'S,Quezon,1,1,1,0,20.0,3500.0,12100.0,15600.0,0.0,15600.0
2021-01,ERGON 125MCG,Quezon,1,1,1,0,2.0,266.66,1733.34,2000.0,0.0,2000.0
2021-01,EUROXONE 1G,Camarines Sur,1,1,1,0,20.0,1460.0,6540.0,8000.0,0.0,8000.0
2021-01,EVAPROST 250MCG/ML,Camarines Norte,2,1,2,0,5.0,17875.0,10405.0,28280.0,0.0,28280.0
2021-01,FERGLOBIN FA 60MG/400MCG,Quezon,3,1,3,0,5.0,1625.0,1262.0,2887.0,990.0,3877.0
2021-01,FOLACID 5MG,Quezon,5,1,5,0,8.0,1575.04,2017.96,3593.0,1327.0,4920.0
2021-01,GYNE-TOCIN 10IU/ML,Cavite,1,1,1,0,20.0,1480.0,14520.0,16000.0,0.0,16000.0
2021-01,HEMOBAS 500MG/5ML,Cavite,1,1,1,0,5.0,1400.0,1225.0,2625.0,0.0,2625.0
2021-01,HISTARIL 1MG/50MG/5ML SYR,Camarines Sur,1,1,1,0,11.0,245.3,722.7,968.0,0.0,968.0
2021-01,HYCLENS WOUND SPRAY (60ML),Marinduque,4,1,4,0,52.0,5962.32,7643.79,13606.11,431.79,14037.9
2021-01,HYCLENS WOUND SPRAY (60ML),Quezon,2,1,2,0,12.0,1375.92,1393.08,2769.0,531.0,3300.0
2021-01,HYPHEN 50MG,Cavite,1,1,1,0,5.0,1136.35,3551.15,4687.5,0.0,4687.5
2021-01,INTRAPLEM 500MG,Camarines Sur,2,1,2,0,8.0,2240.0,5600.0,7840.0,0.0,7840.0
2021-01,IRBIN 150MG,Quezon,2,1,2,0,63.0,13058.01,47701.99,60760.0,0.0,60760.0
2021-01,ISORANE 100% V/V 100ML,Camarines Norte,2,1,2,0,8.0,13600.0,29900.0,43500.0,0.0,43500.0
2021-01,JAGA 300MG/100MG/100MCG,Marinduque,2,1,2,0,13.0,6890.0,5992.0,11858.0,5082.0,16940.0
2021-01,JAGA 300MG/100MG/100MCG,Quezon,6,1,6,0,23.0,12190.0,12604.0,24794.0,1848.0,26642.0
2021-01,LACTAMOX 125MG/31.25MG/5ML,Camarines Sur,2,1,1,0,19.0,1778.97,14871.03,16650.0,0.0,16650.0
