period,territory,row_count,unique_products,unique_dr_numbers,estimated_rows,quantity,total_trade_price,net_income,net_cost,discount,total_cost
2000-01,Batangas,5,5,5,0,20.0,3696.6,7715.4,0.0,0.5,12680.0
2001-03,Cavite,1,1,1,0,3.0,1035.0,1265.0,0.0,0.0,2300.0
2007-11,Camarines Sur,5,1,1,0,19.0,3833.9,6156.1,0.0,0.0,9990.0
2016-01,Camarines Sur,2,2,2,0,4.0,1983.6,3371.4,0.0,0.0,5355.0
2016-09,Marinduque,2,2,1,0,20.0,6150.0,4600.0,0.0,0.0,10750.0
2016-11,Camarines Norte,3,3,3,0,5.0,1555.0,4155.0,0.0,0.0,5710.0
2016-12,Camarines Sur,7,4,4,0,118.0,3333.97,5984.03,0.0,0.0,9318.0
2016-12,Quezon,3,3,2,0,30.0,7285.0,18715.0,0.0,0.0,26000.0
2017-01,Batangas,153,65,116,0,1017.0,166930.71,346632.69,0.0,1.6,522253.0
2017-01,Camarines Norte,119,54,54,0,674.0,91021.35,189242.65,0.0,0.0,279632.0
2017-01,Camarines Sur,59,33,33,0,551.0,72067.2,136657.8,0.0,0.0,208725.0
2017-01,Cavite,2,2,2,0,4.0,1296.5,2898.5,0.0,0.0,4195.0
2017-01,Laguna,67,33,48,0,680.0,87587.9,194643.9,0.0,0.0,282231.8
2017-01,Marinduque,13,10,3,0,128.0,27266.0,58934.0,0.0,0.0,86200.0
2017-01,Quezon,39,29,20,0,370.0,68734.0,142332.68,0.0,0.5,215019.24
2017-02,Batangas,128,57,100,0,694.0,130179.57,281617.43,0.0,0.0,411797.0
2017-02,Camarines Norte,57,34,25,0,397.0,37052.32,92979.68,0.0,0.0,130032.0
2017-02,Camarines Sur,60,30,47,0,505.0,53650.51,89676.49,0.0,0.0,143327.0
2017-02,Cavite,31,28,26,0,72.0,28394.64,42535.36,0.0,0.3,72370.0
2017-02,Laguna,70,42,40,0,3460.0,201212.35,571012.65,0.0,0.0,772225.0
2017-02,Marinduque,15,13,7,0,137.0,21102.0,43168.0,0.0,0.0,64270.0
2017-02,Quezon,22,17,13,0,182.0,36994.2,83662.0,0.0,0.0,120656.2
2017-03,Batangas,93,49,79,0,585.0,91347.58,228149.02,0.0,1.55,322480.0
2017-03,Camarines Norte,60,29,33,0,259.0,43015.24,85966.56,0.0,0.9,128081.0
2017-03,Camarines Sur,75,34,62,0,1130.0,67286.97,120238.33,0.0,0.6,188355.3
2017-03,Cavite,31,23,19,0,114.0,44912.51,74547.49,0.0,0.3,122400.0
2017-03,Laguna,213,161,66,0,35198.0,333978.1,858767.92,0.0,0.0,1190466.02
2017-03,Marinduque,10,10,5,0,125.0,13334.65,30641.35,0.0,0.0,43976.0
2017-03,Quezon,29,23,13,0,182.0,36314.4,75896.8,0.0,1.4,114629.0
2017-04,Batangas,108,55,88,0,622.0,119771.51,253421.69,0.0,2.3,380606.0
2017-04,Camarines Norte,77,28,32,0,285.0,49766.37,98550.63,0.0,1.5,149802.0
2017-04,Camarines Sur,62,25,59,0,502.0,55064.88,111618.12,0.0,0.3,168483.0
2017-04,Cavite,11,10,6,0,53.0,25670.55,40949.45,0.0,0.7,75020.0
2017-04,Laguna,73,60,27,0,1672.0,244882.96,335837.04,0.0,0.5,580918.0
2017-04,Marinduque,12,10,4,0,102.0,9658.9,19557.1,0.0,0.6,31346.0
2017-04,Quezon,12,8,7,0,133.0,29067.5,58452.5,0.0,0.0,86280.0
2017-05,Batangas,89,1,80,0,845.0,160723.18,415458.82,0.0,3.7,613554.0
2017-05,Camarines Norte,44,1,21,0,120.2,28717.79,64102.21,0.0,0.0,92650.0
2017-05,Camarines Sur,66,1,65,0,321.0,44191.52,78956.48,0.0,0.65,124033.0
2017-05,Cavite,11,1,6,0,46.0,21977.5,31145.5,0.0,2.2,78230.0
2017-05,Laguna,58,1,31,0,823.0,91942.9,225346.6,0.0,0.0,317289.5
2017-05,Marinduque,5,1,5,0,43.0,5865.0,13098.0,0.0,0.0,18963.0
2017-05,Quezon,12,1,8,0,99.0,15243.0,37395.0,0.0,0.3,53286.0
2017-06,Batangas,107,1,94,0,602.0,133292.76,296595.34,0.0,1.85,435160.0
2017-06,Camarines Norte,78,1,36,0,387.0,49669.51,107740.49,0.0,0.0,157230.0
2017-06,Camarines Sur,70,1,48,0,486.0,61236.64,104374.03,0.0,0.0,165260.67
2017-06,Cavite,18,1,14,0,64.0,30859.42,44142.58,0.0,2.0,88420.0
2017-06,Laguna,85,1,36,0,1986.0,160559.33,501406.37,0.0,0.0,661965.7
2017-07,Batangas,110,1,75,0,11274.82,742177.94,2011726.06,0.0,1.5,2757904.0
2017-07,Camarines Norte,113,1,70,0,1245.4,106892.11,244467.64,0.0,0.65,348206.0
2017-07,Camarines Sur,82,1,65,0,557.0,61394.57,121162.43,0.0,0.35,182865.0
2017-07,Cavite,20,1,10,0,118.0,20253.03,23696.37,0.0,1.5,49229.4
2017-07,Laguna,63,1,35,0,1974.0,147700.02,379755.59,0.0,0.0,527455.61
2017-07,Marinduque,9,1,4,0,174.0,17619.8,37506.2,0.0,0.0,55126.0
2017-07,Quezon,17,1,9,0,133.0,41771.0,77173.0,0.0,0.3,119334.0
2017-08,Batangas,111,1,84,0,1832.2,335580.37,749027.13,0.0,0.9,1075407.0
2017-08,Camarines Norte,75,1,40,0,1695.0,63462.81,135252.19,0.0,0.8,199708.0
2017-08,Camarines Sur,96,1,78,0,575.9,73540.87,133545.43,0.0,0.7,211026.9
2017-08,Cavite,10,1,7,0,32.0,9106.56,18208.44,0.0,2.1,36280.0
2017-08,Laguna,58,1,26,0,677.1,113312.56,215314.44,0.0,0.0,328627.0
2017-08,Marinduque,41,1,10,0,271.0,37561.12,61751.63,0.0,2.5,108096.0
2017-08,Quezon,64,1,22,0,398.0,90047.57,185045.93,0.0,3.9,284920.0
2017-09,Batangas,79,1,55,0,5161.8,478229.65,799574.41,0.0,0.6,1278908.86
2017-09,Camarines Norte,23,1,14,0,134.2,30278.66,53252.94,0.0,0.0,83531.6
2017-09,Camarines Sur,56,1,47,0,496.0,53084.79,98300.21,0.0,1.8,152942.0
2017-09,Cavite,36,2,15,0,161.0,26248.7,41292.3,0.0,6.3,87200.0
2017-09,Laguna,27,1,21,0,298.0,38007.18,79608.82,0.0,0.0,117616.0
2017-09,Marinduque,41,1,13,0,163.0,57685.68,67132.17,0.0,3.07,160281.0
2017-09,Quezon,59,1,27,0,530.0,105238.34,221172.8,0.0,1.7,330287.14
2017-10,Batangas,68,1,40,0,1742.0,167808.46,353000.24,0.0,1.15,481618.0
2017-10,Camarines Norte,30,1,24,0,137.2,32026.6,62889.8,0.0,0.3,95154.0
2017-10,Camarines Sur,62,1,50,0,465.0,52550.9,113210.16,0.0,0.3,166077.86
2017-10,Cavite,26,1,12,0,176.0,42282.12,55372.66,0.0,2.25,105210.98
2017-10,Laguna,39,1,18,0,752.0,127367.15,271155.85,0.0,0.0,398523.0
2017-10,Marinduque,42,1,14,0,429.0,51607.24,100002.12,0.0,2.81,162223.0
2017-10,Quezon,46,1,19,0,566.0,57447.65,120813.15,0.0,3.9,190598.0
2017-11,Batangas,65,1,54,0,392.0,64921.34,154452.06,0.0,1.15,221185.0
2017-11,Camarines Norte,50,1,28,0,233.0,67901.04,84254.16,0.0,0.6,132358.2
2017-11,Camarines Sur,59,1,45,0,352.0,47047.88,73987.92,0.0,0.0,114001.0
2017-11,Cavite,35,1,10,0,328.5,44976.36,72257.45,0.0,3.0,113394.81
2017-11,Laguna,99,1,31,0,1918.5,265186.4,599835.6,0.0,0.0,830782.0
2017-11,Marinduque,36,1,12,0,212.32,82884.91,106275.78,0.0,2.72,213756.14
2017-11,Quezon,49,1,26,0,381.0,76382.13,169130.63,0.0,3.1,251762.16
2017-12,Batangas,99,1,76,0,3233.0,349437.4,1226236.6,0.0,1.2,1570880.2
2017-12,Camarines Norte,43,1,21,0,149.8,41830.72,81020.68,0.0,0.3,123301.4
2017-12,Camarines Sur,39,1,27,0,274.0,41450.59,63635.01,0.0,0.2,97221.6
2017-12,Cavite,25,1,13,0,162.0,19122.35,25603.75,0.0,3.15,50451.0
2017-12,Laguna,69,1,18,0,1432.0,207971.55,483043.45,0.0,0.0,680105.0
2017-12,Marinduque,15,1,9,0,236.0,49843.85,113940.65,0.0,0.62,169480.0
2017-12,Quezon,41,1,19,0,469.0,82230.1,116199.23,0.0,4.3,235488.0
2018-03,Batangas,93,37,40,0,2752.0,282652.38,958555.23,598483.8,0.0,1235607.6
2018-03,Camarines Norte,60,31,15,0,244.4,46521.76,87876.64,67199.2,0.0,134398.4
2018-03,Camarines Sur,36,16,11,0,184.0,26595.82,28288.18,27442.0,0.0,54884.0
2018-03,Cavite,22,15,8,0,548.0,61255.05,123775.35,92661.2,292.0,185030.4
2018-03,Laguna,146,59,13,0,2182.6,264990.51,1213885.51,739438.0,0.0,1478876.0
2018-03,Marinduque,22,16,9,0,439.0,9805.96,97717.04,0.0,0.0,107523.0
2018-03,Quezon,98,46,26,0,1091.0,94792.38,278112.62,240214.0,8928.0,377369.0
2018-04,Batangas,102,37,46,0,540.0,99596.93,241911.47,170754.2,0.0,341508.4
2018-04,Camarines Norte,100,37,25,0,313.56,85868.64,138545.37,112207.0,0.0,224414.0
2018-04,Camarines Sur,126,40,43,0,771.04,82886.21,158880.19,120516.0,0.0,241032.0
2018-04,Cavite,26,14,10,0,520.0,75932.65,117017.35,96475.0,1800.0,193850.0
2018-04,Laguna,165,64,20,0,2993.6,548676.12,1230420.68,879948.4,0.0,1779096.8
2018-04,Marinduque,33,26,8,0,300.11,50846.64,86760.15,0.0,14803.2,137606.79
2018-04,Quezon,209,74,51,0,2139.9833,302767.84,617738.54,524576.29,61198.2,954875.99
2018-05,Batangas,94,40,45,0,598.0,104733.62,282150.38,193442.0,2288.0,388028.0
2018-05,Camarines Norte,114,46,18,0,285.6,74129.92,178205.28,126167.6,0.0,252335.2
2018-05,Camarines Sur,142,43,44,0,789.96,98692.7,184963.0,141606.0,1960.0,284192.0
2018-05,Cavite,44,22,15,0,708.0,143214.83,217125.17,180170.0,16461.0,368570.5
2018-05,Laguna,239,79,25,0,4918.0,557573.43,1913500.59,1223987.0,0.0,2456974.0
2018-05,Marinduque,14,11,7,0,300.0,26316.82,32335.78,0.0,11409.4,58652.6
