group,year,row_count,distinct_products,quantity,total_cost,discount,net_cost,total_trade_price,net_income
non_medical_candidate,2021,36,330,7068.0,3733456.43,0.0,3733456.43,1512453.97,2231802.46
non_medical_candidate,2022,82,330,2278.0,2030793.14,0.0,2030793.14,871035.88,1198357.26
non_medical_candidate,2023,404,330,11216.7,1878092.0,0.0,1878092.0,1138500.59,841347.51
non_medical_candidate,2024,550,330,2981.0685,16881818.68,0.0,16881818.68,14105770.42,8824741.19
non_medical_candidate,2025,581,330,800.1243,46157728.72,0.0,46157728.72,23516766.99,22640961.77
non_medical_candidate,2021-2025,1653,330,24343.8928,70681888.97,0.0,70681888.97,41144527.85,35737210.19
medical_or_unclassified_candidate,2021,3376,3005,146069.86,75256558.63,550194.22,74706364.41,26109073.5,49774722.41
medical_or_unclassified_candidate,2022,3917,3005,121399.35,62118258.94,605162.2,61513096.74,20451913.25,41570698.07
medical_or_unclassified_candidate,2023,4919,3005,256366.87,60089162.17,550754.74,59538407.43,45608111.86,57316416.67
medical_or_unclassified_candidate,2024,2778,3005,48221.7315,33883368.97,342281.77,33541087.2,16400780.08,18888359.59
medical_or_unclassified_candidate,2025,4318,3005,420262.7057,128103998.27,380443.2,127723555.07,71243863.26,56479691.77
medical_or_unclassified_candidate,2021-2025,19308,3005,992320.5172,359451346.98,2428836.13,357022510.85,179813741.95,224029888.51
overall,2021,3412,3335,153137.86,78990015.06,550194.22,78439820.84,27621527.47,52006524.87
overall,2022,3999,3335,123677.35,64149052.08,605162.2,63543889.88,21322949.13,42769055.33
overall,2023,5323,3335,267583.57,61967254.17,550754.74,61416499.43,46746612.45,58157764.18
overall,2024,3328,3335,51202.8,50765187.65,342281.77,50422905.88,30506550.5,27713100.78
overall,2025,4899,3335,421062.83,174261726.99,380443.2,173881283.79,94760630.25,79120653.54
overall,2021-2025,20961,3335,1016664.41,430133235.95,2428836.13,427704399.82,220958269.8,259767098.7
