data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,DR,DATE,AREA,PRODUCT,GROSS SALES,UNIT PRICE,GROSS,DISCOUNT,column_9,QTY,TP,TOTAL,NET INCOME
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,6,5,,,,,,,,%,AMOUNT,,,,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,7,5,10003,2017-05-17,GOVERNMENT,#REF!,,,0,,0,0,,0,0
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,8,5,11472,2017-05-19,GOVERNMENT,#REF!,20,2080,41600,,0,20,,0,41600
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,9,5,11472,2017-05-19,GOVERNMENT,#REF!,20,3150,63000,,0,20,,0,63000
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,10,5,11472,2017-05-19,GOVERNMENT,#REF!,20,3000,60000,,0,20,,0,60000
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,11,5,11472,2017-05-19,GOVERNMENT,#REF!,20,3200,64000,,0,20,,0,64000
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,12,5,11472,2017-05-19,GOVERNMENT,#REF!,20,1725,34500,,0,20,,0,34500
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,13,5,11472,2017-05-19,GOVERNMENT,#REF!,16.666666666666668,2820,47000,,0,16.666666666666668,,0,47000
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,14,5,11472,2017-05-19,GOVERNMENT,#REF!,10,5500,55000,,0,10,,0,55000
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,15,5,11472,2017-05-19,GOVERNMENT,#REF!,20,880.0000000000001,17600.000000000004,,0,20,,0,17600.000000000004
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,16,5,11472,2017-05-19,GOVERNMENT,#REF!,33.333333333333336,2079,69300,,0,33.333333333333336,,0,69300
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,17,5,11472,2017-05-19,GOVERNMENT,#REF!,15,919.9999999999999,13799.999999999998,,0,15,,0,13799.999999999998
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,18,5,11472,2017-05-19,GOVERNMENT,#REF!,144,123.9,17841.600000000002,,0,144,,0,17841.600000000002
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,19,5,11494,2017-05-19,GOVERNMENT,#REF!,200,875,175000,,0,200,,0,175000
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,20,5,11494,2017-05-19,GOVERNMENT,#REF!,100,924,92400,,0,100,,0,92400
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,21,5,11983,2017-03-21,PHARMA,#REF!,3,855,2565,,0,3,345,1035,1530
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2017,22,5,11983,2017-03-21,PHARMA,#REF!,20,70,1400,,0,20,23,460,940
