data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,DRNumber,DRDate,AREA,Product,Qty,ContractPrice,TOTAL CP,Discount,TotalCP,TransferPrice,Total TP,Net Income,column_13
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,7,5,,2019-01-17,Laguna,COMOX 625mg,1,2820,2820,0,2820,1173.6,1173.6,1646.4,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,8,5,,2019-01-17,Laguna,GLOVES (S) - Dr. Choice,1,250,250,0,250,130,130,120,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,9,5,,2019-01-17,Laguna,NITROFIX SR 30mg,1,1300,1300,0,1300,470,470,830,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,10,5,,2019-01-17,Laguna,EUROXONE 1g,100,264,26400,0,26400,73,7300,19100,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,11,5,,2019-01-23,Admin,CORSTAPH 500mg,4,1500,6000,1800,4200,435,1740,2460,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,12,5,,2019-01-23,Admin,CEPROTRON 500mg,2,1750,3500,1050,2450,500,1000,1450,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,13,5,00029,2019-03-29,Hospital,Gyne-tocin 10iu/ml,400,900,360000,0,360000,91.66666666666667,36666.66666666667,323333.3333333333,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,14,5,00031,2019-03-23,Government,EUROGYL 5mg/ml (500mg/100ml),1000,120,120000,0,120000,23,23000,97000,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,15,5,00031,2019-03-23,Government,CORBAL 100mg,100,1200,120000,0,120000,50,5000,115000,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,16,5,00031,2019-03-23,Government,ZINACARE 750mg w/o Diluent,1000,250,250000,0,250000,15.75,15750,234250,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,17,5,00037,2019-03-20,Cam Sur,MYOCARD 40mg/ml (200mg/5ml),3,2900,8700,0,8700,,,8700,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,18,5,00041,2019-03-21,Hospital,SPASBASCINE,200,750,150000,0,150000,203.33333333333334,40666.66666666667,109333.33333333333,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,19,5,00041,2019-03-21,Hospital,EVAPROST 250mcg/ml,39,9600,374400,0,374400,3575,139425,234975,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,20,5,00041,2019-03-21,Hospital,EUROXONE 1g,300,380,114000,0,114000,73,21900,92100,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,21,5,00042,2019-03-27,Hospital,PROFUREX 750mg ,2000,377.44,754880,0,754880,198.6952,397390.4,357489.6,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,22,5,00045,2019-03-28,Cam Sur,IMATET,5,980,4900,0,4900,510,2550,2350,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,23,5,00045,2019-03-28,Cam Sur,CEFZIME 750mg,5,3000,15000,0,15000,765,3825,11175,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,24,5,00045,2019-03-28,Cam Sur,Ranirex 25mg/ml,5,800,4000,0,4000,40,200,3800,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,25,5,00045,2019-03-28,Cam Sur,NERVAMIN PLUS 500mg/50mg/100mg/100mcg,2,1550,3100,0,3100,244,488,2612,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,26,5,00045,2019-03-28,Cam Sur,MAXIFER 20mg/ml,2,2450,4900,0,4900,951.382,1902.764,2997.236,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,27,5,00045,2019-03-28,Cam Sur,LACTAMOX 500mg/125mg TAB,2,2800,5600,0,5600,1173.2,2346.4,3253.6,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,28,5,00045,2019-03-28,Cam Sur,EUROXONE 1g,30,460,13800,0,13800,73,2190,11610,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,29,5,00045,2019-03-28,Cam Sur,ERGON 125mcg,2,2000,4000,0,4000,90.66600000000001,181.33200000000002,3818.668,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,30,5,00045,2019-03-28,Cam Sur,CEPROTRON 500mg,4,1750,7000,0,7000,500,2000,5000,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,31,5,00045,2019-03-28,Cam Sur,DIFLOSID 75mg/3ml,5,750,3750,0,3750,142.25,711.25,3038.75,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,32,5,00045,2019-03-28,Cam Sur,BUPIRIGHT 1's VIALS,30,620,18600,0,18600,184,5520,13080,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,33,5,00045,2019-03-28,Cam Sur,ATOVAS 20mg,2,750,1500,0,1500,174.49666666666667,348.99333333333334,1151.0066666666667,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,34,5,00045,2019-03-28,Cam Sur,ALGICAP 500mg CAP,1,780,780,0,780,227.5,227.5,552.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,35,5,00045,2019-03-28,Cam Sur,EVAPROST 125mcg/ml,3,3960,11880,0,11880,1872,5616,6264,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,36,5,00046,2019-03-28,Cam Sur,Jackson Pratt 100ml,5,1450,7250,0,7250,900,4500,2750,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,37,5,00046,2019-03-28,Cam Sur,NGT F.16,25,221,5525,0,5525,,,5525,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,38,5,0077,2019-04-30,Government,COMPUTER WITH PRINTER,1,59000,59000,0,59000,,,59000,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,39,5,12/18/18,2018-12-18,BATANGAS,FORTIPLEX,2,855,1710,0,1710,395,790,920,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,40,5,13556 / SI 2151,2019-01-28,Supplies,All Silicone Duodenal Tube F.16 - UNIMEX,25,221,5525,0,5525,180,4500,1025,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,41,5,13557,2019-01-28,Admin,RESPINAL 500mg,1,639.84,639.84,0,639.84,426.56,426.56,213.28000000000003,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,42,5,13557,2019-01-28,Admin,GLOVES (S) - Dr. Choice,2,195,390,0,390,130,260,130,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,43,5,13557,2019-01-28,Admin,AMLOTEC 5mg,3,49.5,148.5,0,148.5,18,54,94.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,44,5,13557,2019-01-28,Admin,BROXIL-M 15mg/5ml,10,44.21,442.1,0,442.1,29.47,294.7,147.40000000000003,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,45,5,13557,2019-01-28,Admin,Nebulizer Kit WITH Tubng and Mouth Piece - Hudson,6,90,540,0,540,,,540,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,46,5,13557,2019-01-28,Admin,Face Mask Earloop,2,75,150,0,150,45,90,60,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,47,5,13558,2019-01-29,Admin,XYNETIN 1500mg/200iu,7,678.571428571,4749.999999997,0,4749.999999997,310,2170,2579.9999999969996,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,48,5,13558,2019-01-29,Admin,Floxa 200,2,3000,6000,0,6000,298,596,5404,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,49,5,13558,2019-01-29,Admin,MAXXIVIT PLUS,7,857.142857142,5999.999999994,0,5999.999999994,440,3080,2919.999999994,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,50,5,13559,2019-01-29,Admin,NERVAMIN PLUS 500mg/50mg/100mg/100mcg,2,1708,3416,1024.8,2391.2,244,488,1903.1999999999998,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,51,5,13559,2019-01-29,Admin,ZAFEX 250mg/5ml,2,3000,6000,1800,4200,,,4200,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,52,5,13562,2019-01-31,Admin,MONILIASOL 500mg,1,680,680,204,476,240,240,236,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,53,5,13563,2019-01-31,Admin,Isoprine 10mg,7,671.428571428,4699.999999996,0,4699.999999996,215,1505,3194.999999996,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,54,5,13563,2019-01-31,Admin,HAV C 500mg,7,135.714285714,949.999999998,0,949.999999998,60,420,529.999999998,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,55,5,13563,2019-01-31,Admin,XYNETIN 1500mg/200iu,7,678.571428571,4749.999999997,0,4749.999999997,310,2170,2579.9999999969996,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,56,5,13564,2019-02-01,Hospital,Gyne-tocin 10iu/ml,400,900,360000,0,360000,91.66666666666667,36666.66666666667,323333.3333333333,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,57,5,13565,2019-02-01,Hospital,MAXIFER 20mg/ml,120,2450,294000,0,294000,951.382,114165.84,179834.16,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,58,5,13565,2019-02-01,Hospital,EVAPROST 250mcg/ml,50,9600,480000,0,480000,3575,178750,301250,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,59,5,13565,2019-02-01,Hospital,PROFUREX 750mg ,2000,377.44,754880,0,754880,198.6952,397390.4,357489.6,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,60,5,13565,2019-02-01,Hospital,EUROXONE 1g,300,380,114000,0,114000,73,21900,92100,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,61,5,13566/ SI 2160,2019-02-01,Quezon,PHYTOMEN 10mg/ml,30,780,23400,0,23400,190,5700,17700,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,62,5,13567,2019-02-04,Admin,MONILIASOL 500mg,0.39,680,265.2,79.56,185.64,240,93.60000000000001,92.03999999999998,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,63,5,13568,2019-02-04,Admin,AEROVENT 1mg/ml,3,390,1170,0,1170,122.5,367.5,802.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,64,5,13568,2019-02-04,Admin,Face Mask Earloop,2,75,150,0,150,45,90,60,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,65,5,13568,2019-02-04,Admin,CENDALEX 125mg/5ml,3,52.5,157.5,0,157.5,35,105,52.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,66,5,13568,2019-02-04,Admin,"MICROPORE 1"" - 3M",1,540,540,0,540,380,380,160,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,67,5,13568,2019-02-04,Admin,GLOVES (S) - Dr. Choice,2,195,390,0,390,130,260,130,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,68,5,13568,2019-02-04,Admin,JAGA 300MG/100MG/100MCG,1,795,795,0,795,530,530,265,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,69,5,13568,2019-02-04,Admin,INTRAPLEM 500mg,1,420,420,0,420,280,280,140,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,70,5,13569,2019-02-04,Admin,PHILSTAT 20mg,1,144,144,0,144,96,96,48,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,71,5,13569,2019-02-04,Admin,Microscot 20mg/g,6,123,738,0,738,79,474,264,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,72,5,13569,2019-02-04,Admin,ELAVIL 300mg,1,33.5,33.5,0,33.5,,,33.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,73,5,13569,2019-02-04,Admin,EXEL 100mg,10,21.23,212.3,0,212.3,13.75,137.5,74.80000000000001,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,74,5,13569,2019-02-04,Admin,EXEL 250mg/5ml sus,10,38.25,382.5,0,382.5,25.5,255,127.5,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,75,5,13571,2019-02-06,Admin,MAXXIVIT PLUS,7,857.14285,5999.999949999999,0,5999.999949999999,440,3080,2919.9999499999994,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,76,5,13571,2019-02-06,Admin,XYNETIN 1500mg/200iu,7,678.57142,4749.99994,0,4749.99994,310,2170,2579.9999399999997,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,77,5,13571,2019-02-06,Admin,Hyclens 0.2% Wound Spray 60ml,20,229.32,4586.4,0,4586.4,128.796,2575.92,2010.4799999999996,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,78,5,13571,2019-02-06,Admin,Isoprine 10mg,7,671.42857,4699.99999,0,4699.99999,215,1505,3194.9999900000003,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,79,5,13572,2019-02-06,Admin,NITROFURANTOIN 100mg CAP,0.36,1000,360,108,252,190,68.39999999999999,183.60000000000002,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,80,5,13574/ SI 2175,2019-02-08,Hospital,APROCARE 150mg,1,870,870,0,870,219,219,651,
raw_sales_report,Medshield (Keith San Miguel).xlsx,sales2019,81,5,13574/ SI 2175,2019-02-08,Hospital,DIFLOSID 75mg/3ml,5,750,3750,0,3750,142.25,711.25,3038.75,
