data_layer,source_workbook,source_sheet,source_row_number,source_header_row_number,Area,DR Number,Date Delivered,Product,Qty,CP,Total CP,Disc,Net CP,TP/UNIT,TOTAL TP,Net Income,%
raw_sales_report,Sales Report.xlsx,2024,7,6,Admin,DR 024116,2024-01-04,SANOMAX-FA,7,857.14,5999.98,0,5999.98,560,3920,2079.9799999999996,0.34666448888162954
raw_sales_report,Sales Report.xlsx,2024,8,6,Admin,DR 024116,2024-01-04,CIUMADE TAB,7,678.57,4749.99,0,4749.99,450,3150,1599.9899999999998,0.33684070913833497
raw_sales_report,Sales Report.xlsx,2024,9,6,Admin,DR 024116,2024-01-04,FERGLOBIN FA 60MG/400MCG CAP,7,642.86,4500.02,0,4500.02,325,2275,2225.0200000000004,0.4944466913480385
raw_sales_report,Sales Report.xlsx,2024,10,6,Admin,DR 024116,2024-01-04,SOLVAPRINE 10MG TAB,7,671.43,4700.01,0,4700.01,150,1050,3650.01,0.7765962200080425
raw_sales_report,Sales Report.xlsx,2024,11,6,Admin,DR 024116,2024-01-04,ERGON 125MCG TAB,7,2000,14000,0,14000,170,1190,12810,0.915
raw_sales_report,Sales Report.xlsx,2024,12,6,Admin,DR 024116,2024-01-04,APCELAC 500MG,14,655,9170,0,9170,400,5600,3570,0.3893129770992366
raw_sales_report,Sales Report.xlsx,2024,13,6,Admin,DR 024116,2024-01-04,BENERVA PLUS 500MG/50MG/100MG/100MCG,3,1708,5124,0,5124,615,1845,3279,0.6399297423887588
raw_sales_report,Sales Report.xlsx,2024,14,6,Admin,DR 024116,2024-01-04,HAEMOREX 500MG CAP,3,1500,4500,0,4500,430,1290,3210,0.7133333333333334
raw_sales_report,Sales Report.xlsx,2024,15,6,Admin,DR 024122,2024-01-23,CIUMADE,7,678.57,4749.99,0,4749.99,450,3150,1599.9899999999998,0.33684070913833497
raw_sales_report,Sales Report.xlsx,2024,16,6,Admin,DR 024122,2024-01-23,SANOMAX - FA,7,857.14,5999.98,0,5999.98,560,3920,2079.9799999999996,0.34666448888162954
raw_sales_report,Sales Report.xlsx,2024,17,6,Admin,DR 024122,2024-01-23,DOLSAPH 325MG/37.5MG,7,1414.29,9900.03,0,9900.03,140,980,8920.03,0.9010104009785829
raw_sales_report,Sales Report.xlsx,2024,18,6,Admin,DR 024122,2024-01-23,FERGLOBIN FA 60MG/400MCG,7,642.86,4500.02,0,4500.02,325,2275,2225.0200000000004,0.4944466913480385
raw_sales_report,Sales Report.xlsx,2024,19,6,Admin,DR 024122,2024-01-23,SOLVAPRINE 10MG,7,671.43,4700.01,0,4700.01,150,1050,3650.01,0.7765962200080425
raw_sales_report,Sales Report.xlsx,2024,20,6,Admin,DR 024122,2024-01-23,APCELAC 500MG HERBAL FOOD SUPPLEMENT,7,655,4585,0,4585,400,2800,1785,0.3893129770992366
raw_sales_report,Sales Report.xlsx,2024,21,6,Admin,DR 024122,2024-01-23,NOVAROSE 1000MG/992MG,3,1000,3000,0,3000,128,384,2616,0.872
raw_sales_report,Sales Report.xlsx,2024,22,6,Admin,DR 024122,2024-01-23,AFENAX 100MG,3,1900,5700,0,5700,595,1785,3915,0.6868421052631579
raw_sales_report,Sales Report.xlsx,2024,23,6,Admin,DR 024122,2024-01-23,CIXTOR-Z 500mg,14,630,8820,0,8820,210,2940,5880,0.6666666666666666
raw_sales_report,Sales Report.xlsx,2024,24,6,Admin,DR 024122,2024-01-23,CEPROTRON 500MG,3,1750,5250,0,5250,550,1650,3600,0.6857142857142857
raw_sales_report,Sales Report.xlsx,2024,25,6,Admin,DR 024123,2024-01-26,HYCLENS WOUND SPRAY 2% 60ML,8,137.59,1100.72,0,1100.72,114.66,917.28,183.44000000000005,0.16665455338324012
raw_sales_report,Sales Report.xlsx,2024,26,6,Admin,DR 024118,2024-01-10,FOLACID 5MG,7,464.29,3250.03,0,3250.03,236.25,1653.75,1596.2800000000002,0.4911585431519094
raw_sales_report,Sales Report.xlsx,2024,27,6,Admin,DR 024118,2024-01-10,CIUMADE,7,678.57,4749.99,0,4749.99,450,3150,1599.9899999999998,0.33684070913833497
