date_delivered,year,month,day,dr_number,area,product,quantity,unit_cost,total_cost,discount,net_cost,trade_price_unit,total_trade_price,net_income,margin_pct,quality_status,quality_notes,allocation_status,estimated,original_area,original_product,allocation_method,allocation_confidence,allocation_profile_level,allocation_weight,allocation_child_number,allocation_child_count,embedded_area_amount,allocated_embedded_area_amount,source_workbook,source_sheet,source_row_number,source_hash,business_hash,parent_source_hash,parent_business_hash,input_stage,standardization_applied,duplicate,allocation_profile_rows,allocation_profile_products,sales_acceptance_status,sales_rejection_reason
,,,,,,,0,0,64022086.88,605162.2,63416924.68,0,21278761.21,42138163.47,0.664462,rejected,missing area; invalid or missing delivery date; missing product,,,,,,,,,,,,,2022s.csv,CSV,4033,4c882cc1e514f052a4c8ad8f9bd9ce02f98e033d7b090d837aabd2dc5e360fd1,4fa56889cdccc19cc7ad7ed802051da3f9daa69d235465594a0ccb075314f830,,,raw_tabular,"[""quantity: blank converted to 0"",""unit_cost: blank converted to 0"",""trade_price_unit: blank converted to 0"",""margin_pct: derived from net income / net cost""]",false,,,excluded_from_clean_sales,quality_status_rejected; missing_product; missing_area; missing_or_invalid_date_delivered; non_positive_quantity
,,,,,,,0,0,185777264.24,380443.2,185396821.04,0,94760630.25,90636190.79,0.488877,rejected,missing area; invalid or missing delivery date; missing product,,,,,,,,,,,,,2025s.csv,CSV,4144,ea02b1e261f350dbfea7f4fe3aea59a0d0019c944cf001779df4e2ce6b9c1926,692eb105de1eb7e3eb86874be7d9216da2bbde8c7062751de7ca7193de9ed2c8,,,raw_tabular,"[""quantity: blank converted to 0"",""unit_cost: blank converted to 0"",""trade_price_unit: blank converted to 0"",""margin_pct: derived from net income / net cost""]",false,,,excluded_from_clean_sales,quality_status_rejected; missing_product; missing_area; missing_or_invalid_date_delivered; non_positive_quantity
,,,,,,,0,0,78734719.48,0,78185569.26,0,27587888.65,50597680.61,0.647149,rejected,missing area; invalid or missing delivery date; missing product,,,,,,,,,,,,,2021s.csv,CSV,4759,f27e0c30cecdc8208195fc81fb5c1f8986999c20605446390e68b3034804ab57,2fd565f23eae3a5d6580bddc75bf1b4712ae1859b729cc8310d6ccb651413bbd,,,raw_tabular,"[""quantity: blank converted to 0"",""unit_cost: blank converted to 0"",""discount: blank converted to 0"",""trade_price_unit: blank converted to 0"",""margin_pct: derived from net income / net cost""]",false,,,excluded_from_clean_sales,quality_status_rejected; missing_product; missing_area; missing_or_invalid_date_delivered; non_positive_quantity
,,,,,,,0,0,59073341.4,342281.77,58731059.63,0,30506004.5,28225055.13,0.480581,rejected,missing area; invalid or missing delivery date; missing product,,,,,,,,,,,,,2024s.csv,CSV,5772,da38038755c5ae69afd9fa34013b8504a872f487b3054435e931ee1f6c464e01,d660118e6492659743965c40c2f81033ac5c73a7d78f51d5cbf4a2ac8a8553b5,,,raw_tabular,"[""quantity: blank converted to 0"",""unit_cost: blank converted to 0"",""trade_price_unit: blank converted to 0"",""margin_pct: derived from net income / net cost""]",false,,,excluded_from_clean_sales,quality_status_rejected; missing_product; missing_area; missing_or_invalid_date_delivered; non_positive_quantity
,,,,,,,0,0,75427810.67,550754.74,74877055.93,0,29245537.67,45631518.26,0.609419,rejected,missing area; invalid or missing delivery date; missing product,,,,,,,,,,,,,2023s.csv,CSV,5896,71bddab336b5605a778120cb9632e27f989ba1b1f7908cb78e15ded6bb651cae,8d6dc8bd8bc28366b2aef2b79a06725a9c90f36b6ffd72a0cd379484768d9b5c,,,raw_tabular,"[""quantity: blank converted to 0"",""unit_cost: blank converted to 0"",""trade_price_unit: blank converted to 0"",""margin_pct: derived from net income / net cost""]",false,,,excluded_from_clean_sales,quality_status_rejected; missing_product; missing_area; missing_or_invalid_date_delivered; non_positive_quantity
,,,,,,GLOVES SMALL LATEX NONSTERILE (FUSIONQUANTUM),0,0,0,0,0,0,0,0,0,rejected,missing area; invalid or missing delivery date,,,,,,,,,,,,,2024s.csv,CSV,2950,7d9a5c5de9493a074c315583846a5affe12b9992e62c25b0e295b39dd621149e,3cdca5b362edc694272c44b56f7bc269ed951483b0bc190344aac0c94c12cec1,,,raw_tabular,"[""quantity: blank converted to 0"",""unit_cost: blank converted to 0"",""total_cost: blank converted to 0"",""discount: blank converted to 0"",""net_cost: blank converted to 0"",""trade_price_unit: blank converted to 0"",""total_trade_price: blank converted to 0"",""net_income: blank converted to 0""]",false,,,excluded_from_clean_sales,quality_status_rejected; missing_area; missing_or_invalid_date_delivered; non_positive_quantity; non_positive_total_trade_price
,,,,,,PRODUCT REP (CP) - SALES SUMM (CP),0,23553366.11,0,0,0,0,0,0,0,rejected,missing area; invalid or missing delivery date,,,,,,,,,,,,,2022s.csv,CSV,4037,755ebffa6986b48fca4fae7176a9020a891faea9ce68f637560427d4927a00b3,d442bdb2a991f50fb53ac8834175922c3d127de0fedb6be384ead355f6768c16,,,raw_tabular,"[""quantity: blank converted to 0"",""total_cost: blank converted to 0"",""discount: blank converted to 0"",""net_cost: blank converted to 0"",""trade_price_unit: blank converted to 0"",""total_trade_price: blank converted to 0"",""net_income: blank converted to 0"",""margin_pct: derived from net income / net cost""]",false,,,excluded_from_clean_sales,quality_status_rejected; missing_area; missing_or_invalid_date_delivered; non_positive_quantity; non_positive_total_trade_price
,,,,,,PRODUCT REP (TP) - SALES SUMM (TP),0,9354797.36,0,0,0,0,0,0,0,rejected,missing area; invalid or missing delivery date,,,,,,,,,,,,,2022s.csv,CSV,4038,7db5f3d38d3224063900dcf281ab6e129c633c4cd7f1bd79d92bc926ed86ab43,95e2bcd6d6e2314537fcb1739f357d95e03d4c7f5727310095b0425353157d5f,,,raw_tabular,"[""quantity: blank converted to 0"",""total_cost: blank converted to 0"",""discount: blank converted to 0"",""net_cost: blank converted to 0"",""trade_price_unit: blank converted to 0"",""total_trade_price: blank converted to 0"",""net_income: blank converted to 0"",""margin_pct: derived from net income / net cost""]",false,,,excluded_from_clean_sales,quality_status_rejected; missing_area; missing_or_invalid_date_delivered; non_positive_quantity; non_positive_total_trade_price
,,,,DR-025270,Admin,,0,0,0,0,0,0,0,0,0,rejected,invalid or missing delivery date; missing product,,,,,,,,,,,,,2025s.csv,CSV,182,83b7c490d2fa2deb27bf15ba7b688564c6f74b82ce9c00f1a4eab1312b8f68da,5b4ca6a702bd96e204fe66e60723e8253c8d0e482be9d7037e08c427a592ff03,,,raw_tabular,"[""dr_number: standardized identifier format"",""unit_cost: blank converted to 0"",""total_cost: blank converted to 0"",""trade_price_unit: blank converted to 0"",""total_trade_price: blank converted to 0""]",false,,,excluded_from_clean_sales,quality_status_rejected; missing_product; missing_or_invalid_date_delivered; non_positive_quantity; non_positive_total_trade_price
,,,,DR-025270,Admin,,0,0,0,0,0,0,0,0,0,rejected,invalid or missing delivery date; missing product,,,,,,,,,,,,,2025s.csv,CSV,183,9c5cf20cd488f3c89144666ff243cc7c4785680da038b083d4b6a66db4e0430f,5b4ca6a702bd96e204fe66e60723e8253c8d0e482be9d7037e08c427a592ff03,,,raw_tabular,"[""dr_number: standardized identifier format"",""unit_cost: blank converted to 0"",""total_cost: blank converted to 0"",""trade_price_unit: blank converted to 0"",""total_trade_price: blank converted to 0""]",false,,,excluded_from_clean_sales,quality_status_rejected; missing_product; missing_or_invalid_date_delivered; non_positive_quantity; non_positive_total_trade_price
